Measure,Article 1,Article 2,Article 3,Article 4
words,675.0,705.0,497.0,532.0
terms,305.0,335.0,235.0,247.0
ttr,0.45185185185185184,0.475177304964539,0.47283702213279677,0.4642857142857143
rttr,11.73945547352239,12.616829917341382,10.541190644382029,10.708808123622882
cttr,8.301048572765215,8.921445991629401,7.453747386422727,7.572270842639328
msttr,0.7133333333333334,0.7171428571428571,0.72,0.7060000000000001
mattr,0.7206597222222235,0.7244224422442269,0.7427135678391962,0.7372055427251731
mtld,89.57405308628475,91.38854539259654,103.70925783918187,100.28092203591478
hdd,0.8371173570533963,0.8414482833342655,0.8568291227954739,0.8593423695798279
vocd,90.7446431033906,93.59766923224333,107.77257863414161,110.01451503674525
Herdan,0.878060483714329,0.8865439418938944,0.8793599659819424,0.8777602784009413
Summer,0.9306107681376039,0.9359687496171045,0.9295916719332085,0.929018268701484
Dugast,53.42577114715084,57.80385739013563,51.4637622297696,51.347004126275564
Maas,0.018717558558877804,0.017299883522490532,0.019431148378451477,0.01947533292382047
yulek,124.0493827160494,119.83300638800866,106.79772801800745,104.2314432698287
yulei,15.447525738957157,17.740278216882707,19.04310344827586,18.859041731066462
herdanvm,0.10299384073087213,0.10206206801866818,0.09185056389305522,0.09085296131195587
simpsond,0.012423343224530169,0.012000322372662799,0.010701304601804375,0.010442773600668337
